time_slots,ASSEofficiel,OL,ClermontFoot,MontpellierHSC,OM_Officiel,ogcnice,AS_Monaco,estac_officiel,girondins,psg_inside,StadeDeReims,FCMetz,RCSA,AngersSCO,FCNantes,staderennais,RCLens,losclive,FCLorient,SB29
2022-01-30T12:00:00.000Z,45,372,1,27,331,23,60,16,578,381,7,1,10,1,6,15,39,11,14,14
2022-01-30T13:00:00.000Z,61,233,1,50,336,31,57,8,349,214,20,1,15,13,8,4,21,26,9,23
2022-01-30T14:00:00.000Z,47,338,1,26,283,14,22,4,187,228,6,1,11,16,1,21,8,28,2,14
2022-01-30T15:00:00.000Z,58,469,1,35,171,20,34,14,138,193,6,2,40,59,5,13,11,2,28,23
2022-01-30T16:00:00.000Z,191,3513,6,40,168,13,36,36,76,160,6,27,30,12,6,10,13,11,30,14
2022-01-30T17:00:00.000Z,191,1242,9,13,362,37,54,11,140,369,5,12,7,34,2,20,16,7,17,13
2022-01-30T18:00:00.000Z,245,604,10,15,307,74,63,13,1330,465,15,6,33,19,7,18,64,1,13,22
2022-01-30T19:00:00.000Z,1350,474,15,15,164,35,308,13,526,466,4,35,78,30,12,8,195,12,13,11
2022-01-30T20:00:00.000Z,347,292,4,13,143,32,540,59,467,396,3,16,27,18,6,11,592,10,7,10
2022-01-30T21:00:00.000Z,159,175,2,9,82,13,612,13,258,329,6,16,12,7,5,12,509,6,1,2
2022-01-30T22:00:00.000Z,89,427,2,6,128,28,509,12,148,309,2,7,8,3,1,0,215,8,6,2
2022-01-30T23:00:00.000Z,41,287,4,3,62,10,230,3,95,123,3,3,4,4,1,1,39,4,4,1
2022-01-31T00:00:00.000Z,19,86,0,0,40,7,60,5,42,60,0,1,3,1,2,0,14,5,2,0
2022-01-31T01:00:00.000Z,12,48,0,1,20,2,37,1,19,45,0,0,1,1,0,0,3,0,0,0
2022-01-31T02:00:00.000Z,10,33,0,0,10,0,32,1,9,42,0,1,1,1,1,1,5,0,0,0
2022-01-31T03:00:00.000Z,4,33,0,2,12,1,20,0,3,35,0,0,0,1,1,1,5,0,0,2
2022-01-31T04:00:00.000Z,7,24,1,2,14,2,26,2,10,42,0,0,0,0,1,0,1,1,0,0
2022-01-31T05:00:00.000Z,12,46,0,1,39,1,43,9,22,18,5,0,2,3,1,0,10,2,0,0
2022-01-31T06:00:00.000Z,43,106,2,1,31,6,58,14,67,65,38,8,8,7,2,3,36,2,0,3
2022-01-31T07:00:00.000Z,50,85,3,3,52,37,72,6,96,55,6,14,11,3,2,3,33,2,4,0
2022-01-31T08:00:00.000Z,63,273,0,9,194,178,60,4,71,260,10,10,12,2,5,10,25,5,7,2
2022-01-31T09:00:00.000Z,38,162,4,2,213,97,62,32,144,175,21,16,15,13,7,15,25,9,6,3
2022-01-31T10:00:00.000Z,45,218,2,1,145,301,65,16,146,318,27,72,3,10,22,7,17,27,8,3
2022-01-31T11:00:00.000Z,55,413,3,7,229,237,94,20,137,351,7,31,22,12,29,16,46,50,50,2
2022-01-31T12:00:00.000Z,95,326,35,5,289,156,59,6,96,234,12,10,11,3,6,5,24,64,14,1
2022-01-31T13:00:00.000Z,63,708,45,6,166,94,40,13,62,167,8,16,6,5,11,19,38,20,6,3
2022-01-31T14:00:00.000Z,60,329,66,3,148,132,48,12,239,195,19,8,10,0,16,14,32,24,17,0
2022-01-31T15:00:00.000Z,415,5140,7,2,174,128,40,10,527,254,20,29,3,27,44,5,16,33,27,371
2022-01-31T16:00:00.000Z,187,3200,16,0,127,81,53,7,174,246,9,23,4,15,23,8,27,23,31,141
2022-01-31T17:00:00.000Z,124,1702,28,5,114,82,36,19,101,277,6,30,12,4,20,106,76,140,99,109
2022-01-31T18:00:00.000Z,126,983,8,14,142,131,49,5,173,631,20,23,20,17,17,31,55,55,41,176
2022-01-31T19:00:00.000Z,135,1550,8,10,212,324,52,19,262,1463,88,140,12,26,22,89,24,104,81,678
2022-01-31T20:00:00.000Z,91,1259,14,3,1400,214,120,7,609,1743,13,75,12,19,146,197,5,94,189,1429
2022-01-31T21:00:00.000Z,71,804,6,2,889,212,55,8,334,2185,14,56,13,8,53,148,16,71,222,5312
2022-01-31T22:00:00.000Z,302,1081,247,2,950,2119,62,197,1878,4843,14,54,6,7,44,49,11,525,211,1734
2022-01-31T23:00:00.000Z,148,317,69,0,272,913,15,15,382,950,3,7,1,5,17,21,3,68,50,794
2022-02-01T00:00:00.000Z,32,109,4,12,59,227,9,2,97,223,0,3,1,0,5,7,2,18,23,334
2022-02-01T01:00:00.000Z,2,69,2,1,51,87,1,5,65,159,8,2,2,1,0,3,1,7,3,180
2022-02-01T02:00:00.000Z,8,25,5,0,30,75,4,4,36,84,1,2,0,0,3,2,0,1,3,132
2022-02-01T03:00:00.000Z,4,42,1,0,24,33,0,2,19,97,0,0,0,0,3,3,1,3,3,75
2022-02-01T04:00:00.000Z,7,54,2,0,30,90,0,4,47,125,1,2,0,0,3,3,1,6,5,73
2022-02-01T05:00:00.000Z,10,46,12,1,65,84,5,1,57,146,1,4,1,0,2,6,2,7,13,90
2022-02-01T06:00:00.000Z,23,78,9,0,115,206,9,1,91,297,3,12,2,1,14,9,7,31,15,174
2022-02-01T07:00:00.000Z,27,96,15,0,490,183,16,3,75,320,9,13,8,19,9,20,11,25,26,232
2022-02-01T08:00:00.000Z,31,207,14,3,299,155,36,15,108,497,7,16,1,5,10,20,5,20,27,263
2022-02-01T09:00:00.000Z,29,248,4,4,448,171,14,7,140,321,2,16,4,13,15,10,13,26,22,253
2022-02-01T10:00:00.000Z,100,169,1,6,636,169,15,3,159,347,8,12,3,6,23,19,11,13,22,237
2022-02-01T11:00:00.000Z,48,315,4,7,690,178,29,22,164,403,2,17,16,3,23,17,2,56,23,248
2022-02-01T12:00:00.000Z,16,323,5,3,384,120,20,4,134,291,7,28,11,8,7,22,6,37,34,829
2022-02-01T13:00:00.000Z,22,325,6,6,351,120,33,5,113,257,10,11,2,2,12,16,3,12,17,735
2022-02-01T14:00:00.000Z,43,316,3,10,249,77,24,2,133,440,5,1,12,5,17,7,2,9,5,620
2022-02-01T15:00:00.000Z,65,248,12,9,378,95,30,8,125,340,6,6,7,3,10,2,3,14,16,1249
2022-02-01T16:00:00.000Z,62,394,26,37,408,103,26,13,172,278,8,37,5,7,8,91,77,9,14,1162
2022-02-01T17:00:00.000Z,47,311,21,15,351,58,20,11,125,183,1,36,6,10,11,30,28,18,9,1178
2022-02-01T18:00:00.000Z,90,649,13,25,801,91,30,29,106,155,1,25,10,24,7,16,33,40,23,750
2022-02-01T19:00:00.000Z,55,1401,9,12,1412,50,43,26,116,175,3,19,6,34,6,10,21,32,25,550
2022-02-01T20:00:00.000Z,42,1336,3,10,1650,44,25,4,87,174,5,16,4,19,6,22,11,25,18,435
2022-02-01T21:00:00.000Z,21,5479,7,7,4225,43,25,5,68,111,1,7,4,3,7,13,23,12,12,335
2022-02-01T22:00:00.000Z,12,7764,4,3,2807,61,23,1,67,113,17,3,2,2,5,31,16,2,11,235
2022-02-01T23:00:00.000Z,8,2356,1,5,582,32,4,2,27,31,1,6,2,1,0,10,6,3,5,341
2022-02-02T00:00:00.000Z,2,848,2,1,207,7,3,1,12,36,1,1,3,1,2,4,2,0,7,210
2022-02-02T01:00:00.000Z,6,353,0,1,92,4,1,1,21,27,0,0,0,0,0,2,1,2,3,76
2022-02-02T02:00:00.000Z,0,225,0,0,73,8,2,0,4,32,0,0,0,1,0,2,0,1,2,78
2022-02-02T03:00:00.000Z,1,175,1,1,41,5,3,2,4,11,1,1,1,2,1,1,0,3,3,43
2022-02-02T04:00:00.000Z,5,183,0,1,38,1,0,0,4,21,0,0,1,0,0,0,0,1,3,32
2022-02-02T05:00:00.000Z,3,375,1,1,92,6,0,0,3,12,1,0,0,0,1,2,0,0,0,53
2022-02-02T06:00:00.000Z,11,872,3,3,217,9,2,0,42,34,2,4,5,0,1,5,3,6,1,104
2022-02-02T07:00:00.000Z,14,884,3,2,288,20,5,3,34,35,2,7,1,1,4,1,9,7,13,127
2022-02-02T08:00:00.000Z,12,937,0,10,260,25,8,3,42,71,8,6,2,2,1,24,5,18,2,138
2022-02-02T09:00:00.000Z,14,913,4,21,252,63,17,10,79,102,3,11,16,0,8,25,9,12,10,232
2022-02-02T10:00:00.000Z,89,690,2,19,257,99,38,9,58,111,6,10,14,8,13,9,17,27,11,285
2022-02-02T11:00:00.000Z,30,853,15,18,371,64,32,11,70,69,27,38,5,3,11,26,23,113,11,495
2022-02-02T12:00:00.000Z,69,611,5,14,255,22,47,8,48,76,14,11,2,2,17,31,17,37,17,673
2022-02-02T13:00:00.000Z,116,431,2,15,132,34,44,1,38,57,3,11,11,3,5,25,20,48,20,342
2022-02-02T14:00:00.000Z,80,788,9,11,102,54,58,3,68,156,8,12,10,2,7,19,15,55,6,220
